Price,CAT,CHRW,ARE,CDW,AMD,ACGL,CCL,ADBE,AXON,AAPL,BAC,AON,ALL,ANSS,APTV
Ticker,CAT,CHRW,ARE,CDW,AMD,ACGL,CCL,ADBE,AXON,AAPL,BAC,AON,ALL,ANSS,APTV
Date,,,,,,,,,,,,,,,
2010-02-28,0.09207518579251617,-0.05827278803221103,0.031642168002862237,,0.060321689941561285,0.03410685609978348,0.08214004479031378,0.07275549053642094,0.3404255535010037,0.06539638256298863,0.09749665894231385,0.05244200543845223,0.04410311293950131,0.04777830795122884,
2010-03-31,0.10166481498043844,0.05219637224655571,0.10267256176043671,,0.17193434090855386,0.030683955429885668,0.08120165417229042,0.020779145001425636,-0.22354498280579438,0.14847021103565483,0.07207974951464347,0.04323400377164455,0.040449270392675984,-0.015275922807088338,
2010-04-30,0.09013118024202016,0.08003572904687739,0.04748537226668792,,-0.02157505426787243,-0.008786912864692464,0.07253052612235389,-0.05004242327437791,-0.19080066565493792,0.11102182394662874,-0.001120153559542314,-0.0024107482124365864,0.011142004291973207,0.04098172063078254,
2010-05-31,-0.10765170897708254,-0.036637673709294494,-0.07385990484637861,,-0.055126793475563596,-0.027255866390153982,-0.12884670716004942,-0.04523799738375334,-0.058947412591231485,-0.0161251462438321,-0.11721816565177556,-0.07041976730489863,-0.056158574409201356,-0.027357641621063133,
2010-06-30,-0.01135574862860489,-0.03794819967770102,-0.02867215104678833,,-0.14585759249417107,0.013329650142953842,-0.16533299092633147,-0.1761222320258562,-0.12751671623675398,-0.02082709049653242,-0.08644801016006654,-0.059538806900281016,-0.062030689544437134,-0.07226160257239533,
2010-07-31,0.16887786399557125,0.17139782173656082,0.11330310012755085,,0.02322398845220297,0.05046982656471943,0.14682566966410282,0.08664392666428622,0.0512820011216677,0.022740892540109137,-0.022964399713743755,0.018987907607971533,-0.017055550645540096,0.10796157508164872,
2010-08-31,-0.06580667458217782,-0.003220822155068026,-0.016725783854592446,,-0.25100129439965246,0.019677988375416344,-0.09819908393370469,-0.03551527071035654,-0.11463409783512435,-0.05500447113203344,-0.11253530334180317,-0.0379615975474783,-0.01547876993409758,-0.1372636680515842,
2010-09-30,0.20748956531013363,0.08001227877070916,0.014140693990264186,,0.2673796727809201,0.05012533284378806,0.22482382905315235,-0.05595671847355921,0.0688705212447367,0.1672154996822499,0.05220842372143375,0.0791944557381663,0.14311524866444336,0.08947914723905614,
