Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AEP,AXP,AIG,AMT,AWK,AMP,AME,AMGN,APH,ADI,ANSS,AON,APA,APO,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,AXON,BKR,BALL,BAC,BAX,BDX,BBY,TECH,BIIB,BLK,BX,BK,BA,BKNG,BWA,BSX,BMY,AVGO,BR,BRO,BLDR,BG,BXP,CHRW,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CAT,CBOE,CBRE,CDW,CE,COR,CNC,CNP,CF,CRL,SCHW
31/12/2010,46.45206833,7.684927464,16.97454453,,37.50844193,30.78000069,8.180000305,8.218436241,19.917099,26.49406242,59.21932983,47.04999924,45.77629471,46.45445633,19.54000092,,11.32674503,23.29060936,14.8104248,14.74083424,10.5401926,9,,17.17088509,20.91044807,35.05578613,36.99151611,39.08317184,18.53464699,42.20057297,23.88841248,38.29872894,5.842841625,27.23366547,52.06999969,39.78913879,92.09814453,,9.706990242,11.16346264,,9.302956581,20.49448776,,20.64790154,29.03137207,7.86439085,21.01011276,38.20000076,29.36047554,272.5899963,71.62378693,31.19321251,4.699999809,29.619133,14.89392948,10.61767101,20.95947075,65.45140076,21.70261383,14.33367825,67.05000305,132.1984406,6.979561806,21.55911064,52.12399292,396.0385132,27.06420708,7.570000172,16.53633118,2.024751186,16.48211479,10.28225613,1.970000029,46.14502716,50.69603729,57.64147568,8.260000229,,31.61048317,22.64743805,33.87607193,26.34738159,31.87999916,34.74760818,65.18651581,16.49762726,20.47999954,,32.14573669,27.75845146,6.335000038,9.315816879,19.3549118,35.54000092,14.28900719
31/01/2011,47.32404709,8.667570114,16.14874077,,39.81356049,33.04999924,7.829999924,8.366883278,20.32299042,26.74985504,56.81019211,48.31999969,46.08813477,48.85138702,20.82999992,,11.5782032,22.74999428,14.96975708,14.89941788,10.06498718,8.482000351,,17.28053093,20.73609161,35.5772171,31.2296505,38.49282837,18.68855476,45.20704269,24.81960487,38.42430878,6.126238346,28.07229805,52.45000076,39.68532944,92.30711365,,10.21136093,12.46653175,,9.32408905,22.2591362,,21.07392883,29.56647682,7.509103298,21.95287704,40.68000031,30.38822746,253.5299988,73.7747345,31.0090332,4.190000057,35.49426651,15.56803703,10.9280777,20.07753563,64.23560333,21.51906586,15.04960346,65.47000122,137.3593292,7.75890255,22.35786629,55.49456787,424.7539063,25.20906448,6.980000019,15.92279339,2.046131611,17.20362282,10.66900444,2.220000029,47.94095612,55.56546021,55.41312408,8.680000305,,32.45959854,22.24988365,38.33346558,28.54814529,32.65000153,33.69260025,67.83556366,16.6058712,22.19000053,,32.432827,29.17403221,6.929999828,9.57063961,19.3391552,38.34999847,15.07402515
28/02/2011,49.94254303,8.179628372,17.20005226,,39.82128906,34.5,9.210000038,8.346637726,20.88530922,26.90973091,59.90300369,37.52999878,47.23705292,50.85513306,20.85000038,,12.26990318,23.21755981,15.29490471,15.22303677,10.86128235,8.664500237,,17.03078842,21.06304932,35.73305511,28.68330193,40.8390274,20.49555588,46.57102585,25.5316925,35.80825043,6.363139629,28.83139992,56.31999969,45.67197037,96.37494659,,10.62935925,13.11143208,,9.561813354,25.44301987,,22.29519081,30.7433548,7.743767262,23.00398254,42.04999924,31.7204895,257.9500122,77.02021027,29.59831619,3.779999971,36.89108276,15.81760025,11.37380219,22.00702477,61.95117188,20.40514183,15.7094326,68.40000153,141.500473,8.779941559,21.75649834,57.84944916,449.8910522,29.02781296,7.159999847,16.32117081,2.422430992,17.22617149,11.26364231,2.390000105,50.99290466,56.47810745,52.03473663,9.949999809,,34.64973831,21.93706512,39.65339279,28.63756752,35.36999893,32.32780838,71.97520447,21.35453033,25.04000092,,32.40154648,30.92632484,7.617499828,9.515151978,20.24610901,36.43999863,15.89241314
31/03/2011,50.63024902,8.977344513,17.53976059,,42.52090454,33.15999985,8.600000381,8.771734238,18.72794342,28.63635254,59.09764481,38,49.19861603,49.73587799,20.47999954,,12.12969494,23.37093353,14.63064766,14.56189919,11.31148148,9.006500244,,17.33712006,20.68629456,37.06984711,27.19727135,39.21939468,20.72459984,44.92352295,26.73942566,37.28719711,6.022675037,28.63072395,54.18999863,45.94960022,101.2470703,7.10781765,10.48792076,12.46504307,,10.47995758,24.6423645,,21.82765388,29.13923073,8.352241516,23.19443893,44.11000061,32.78350449,273.5599976,76.99794769,31.11086655,4.059999943,38.1268425,15.70806217,10.6173296,22.39446259,61.9768486,18.17727852,15.68752384,73.47000122,140.4042511,8.979995728,21.38422394,59.39190674,501.9891052,29.80578613,7.190000057,16.92128181,2.222186089,17.17037964,11.11713505,2.839999914,51.10595703,56.14932251,53.50440598,9.75,,33.56990433,21.57861137,41.39822769,28.4200592,32.09999847,29.06245041,77.86302185,21.0677681,26.70000076,,34.68412399,32.27236938,8.244999886,10.53505898,19.60266495,38.38000107,15.1049242
30/04/2011,52.63921356,8.931406021,18.7856617,,44.55075073,33.54999924,9.100000381,8.933671951,19.9379158,31.91693878,62.59710312,34.43000031,58.07200241,52.40224075,24.13999939,,12.45451164,24.88584709,13.56693459,13.50318623,11.66346741,9.790499687,,18.10298729,21.4751339,40.412117,24.10913849,39.59024048,21.70725822,45.64430237,28.06207657,39.65906143,6.190989017,29.30687714,55.29000092,45.39336014,103.2698593,7.139408588,10.53666782,12.52090263,,10.98816109,25.33353806,,21.37544823,30.03966522,8.651848793,23.73179817,44.97999954,34.73224258,282.3800049,81.18510437,30.94774437,4.460000038,40.19338226,16.34778214,9.781005859,23.69806099,66.89640045,19.85719299,17.02860069,97.65000153,136.8628235,9.512368202,20.82707405,64.09149933,542.2025757,28.88943291,7.489999771,17.99046707,2.390814066,17.58658218,11.13868046,2.650000095,53.3033905,61.87969208,57.87106705,10.38000011,,37.07341003,22.08201599,43.60517502,30.1889801,34.70000076,28.84273338,81.03809357,19.50422859,26.70999908,,39.06638336,33.15341187,9.057499886,11.15900612,20.28479385,42.18999863,15.3394928
31/05/2011,51.40800858,8.423596382,18.86146927,,44.75350189,34.63000107,8.680000305,8.744740486,17.05203629,31.8913517,62.31528473,33.93999863,58.31069946,52.65102005,24.5,,12.95533752,23.23289871,13.19092083,13.12893963,12.19362736,9.834500313,,18.35004234,22.77341652,42.48704529,22.05812454,41.98943329,22.34007835,45.20232773,26.50780678,42.23323059,5.986135483,30.11828423,57.36999893,45.37594604,96.47914886,7.20451355,10.46745586,11.06156731,,10.69126892,22.2902298,,20.60743141,28.12248421,8.774171829,22.91460037,42.97999954,35.21146393,294,85.32740784,31.58218193,4.53000021,38.46634293,17.34301949,9.358863831,24.78924751,68.14963531,20.20066261,17.9197998,94.73000336,143.5823364,8.755156517,20.21578979,63.01667023,510.6622314,27.12030792,7.179999828,18.4130249,2.414393663,17.31416512,11.40666485,2.420000076,52.76864243,64.14104462,57.89992523,10.68999958,,37.9773674,22.84461212,43.33358765,31.3843708,29.65999985,29.58660889,74.29019928,19.14061928,26.43000031,,40.76456451,33.7192688,8.699999809,11.71838188,22.05347443,38.68000031,15.13851166
30/06/2011,51.66402817,8.592186928,18.99503708,,47.11634064,31.45000076,6.989999771,8.596295357,16.65597534,32.68432617,63.0218277,31.46999931,57.10458374,49.6764679,22.79999924,,12.80729485,22.60358238,12.62639904,12.56707096,11.64037704,10.2244997,,18.05177307,22.46341705,42.7237587,22.69277,39.60538101,21.92320061,42.58158112,27.40717697,40.70546341,5.980129242,28.63321114,54.66999817,44.63636398,95.5422287,6.876673698,10.10151863,10.44346237,,10.11756039,20.73589706,,20.7304287,27.57508659,8.732468605,22.84588432,38.59999847,33.88908768,294.8500061,82.91334534,28.81481552,4.550000191,37.75353241,16.88212204,8.737066269,24.99331665,67.39971924,20.07311821,18.33097076,106.9199982,134.9075012,8.409826279,18.42506027,59.70555496,507.4308472,30.21719551,6.909999847,18.75749588,2.722370148,18.34058762,11.09113789,2.150000095,48.87033844,63.14862442,57.11037827,10.56000042,,37.87876129,22.71312904,41.20438385,31.53496933,33.06999969,28.68702888,74.75361633,18.03513718,25.11000061,,41.71931839,33.86651993,8.882499695,11.73050308,20.31678963,40.65000153,13.82723618
31/07/2011,47.46445084,8.454866409,18.69413948,,46.11816788,27.70999908,7.340000153,8.306155205,16.43475342,26.96088791,58.50521851,24.21999931,54.94250488,52.61521912,21.98999977,,12.54501343,20.52312469,15.05278873,14.98205948,11.59189606,11.1260004,,18.03926086,21.97456169,41.3519783,22.21291542,39.75675201,20.84378815,39.93869019,25.94220543,38.15920639,5.415235519,25.16561508,50.59999847,41.99558258,95.91220093,6.920648098,11.75094891,9.889586449,,10.71345711,20.89408684,,20.42535782,27.08090591,8.283840179,22.96956635,34.40000153,33.12356567,285.4500122,86.65220642,23.53372002,4.110000134,40.26141739,17.03137207,7.74059391,24.35687065,65.39736176,17.63827324,16.66431808,101.8700027,125.5179367,8.435214043,18.15006065,56.9112587,532.9248657,29.77959824,7.159999847,18.56319237,2.409298658,17.57099533,9.427031517,2.299999952,48.77112961,63.86242294,52.38013077,10.32999992,,39.93285751,21.91073036,38.11824417,30.38242912,31.96999931,25.3860817,69.66096497,16.89145088,21.79999924,,43.19174576,31.33878899,8.202500343,11.8699379,22.27433205,39.54999924,12.54958344
31/08/2011,45.50323486,8.010411263,19.12761116,,41.79020691,25.23999977,6.829999924,7.327768803,13.56791782,23.57798767,53.9819603,21.94000053,41.84643936,46.7184639,19.10000038,,12.9142704,19.5882206,13.48864079,13.42525959,11.9841671,10.76150036,,18.94059563,23.32585144,41.07927322,19.60463524,40.76335526,22.35346603,33.89029312,23.85461998,38.85839081,5.203677654,24.34182167,53.97999954,40.78250885,79.90356445,5.273130894,11.58091831,9.153063774,,10.67542171,19.69874954,,20.49072838,26.87980461,8.063014984,23.29660416,28.20000076,32.18434143,307,88.06639099,21.71368217,4.449999809,31.86242294,15.79819775,6.520969868,23.43987083,63.65312576,16.35373878,15.99354267,94.19999695,116.8371582,7.019458294,14.94072819,54.36209869,532.5383301,26.70139694,6.78000021,19.26918221,2.372044563,15.86418724,9.11737442,1.929999948,46.05203247,62.03625488,51.27763748,9.239999771,,39.78399658,21.12844276,36.76773834,29.50761604,28.11000061,25.38576126,64.1678772,18.70192909,15.15999985,,36.83010864,32.47422791,7.972499847,12.25748253,26.27830887,33.11999893,10.43068314
30/09/2011,39.3670578,6.530245781,18.62857056,,41.08057404,24.17000008,5.079999924,6.58554554,12.57154942,19.98405075,50.72790527,19.87999916,33.46204376,39.69215393,15.17000008,,12.31264019,17.69138336,12.84233475,12.78199196,12.00209141,10.8114996,,18.87987137,22.95751572,37.10438156,16.98862457,40.71794891,22.65371895,29.18865776,20.15753937,38.54976273,4.517411709,23.0370121,49.04000092,36.63704681,62.2049408,4.163214207,11.47528934,8.376831055,,10.3584547,17.16032791,,19.33833504,27.36130905,8.074339867,22.53949928,27.79000092,30.56079102,319.1900024,74.19795227,18.87394714,4.309999943,24.06235313,13.64310551,4.884739876,23.64241028,57.6502037,14.98864937,15.00925636,93.15000153,104.9654694,6.133704185,13.43726444,49.19907761,445.5098572,22.639534,5.909999847,20.32493973,2.354771614,15.46906185,7.724376202,1.269999981,41.48311996,53.28657913,49.80112839,9.239999771,,33.18814468,21.45991898,31.64181519,29.21974564,23.85000038,23.28757477,52.06766891,18.12420845,13.46000004,,25.48571205,30.57893944,7.167500019,12.01857758,17.74271393,28.62000084,9.518528938
