Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
EqualWeight,0.1737866568926259,0.18152482870254993,1.2291035754047377,0.14456799809900592,0.17115545030547388,0.9880125889241931
MaxSharpe,0.173768770579226,0.19597079812077778,1.2375275778973904,0.14905500390199172,0.168822725955124,0.9286251358822665
MinVar,0.1443595343688946,0.15483642125076258,0.9635824987799544,0.12202936393338298,0.14224164469652714,0.9369463933226361
SVR-CPO,0.17531854855179216,0.1889981843867353,1.2425652545085404,0.14797279704636132,0.17154944322468182,0.9737297273484112
XGBoost-CPO,0.17469712896125814,0.18975816466850548,1.2340282493521504,0.14883540617411117,0.17062819460896037,0.9657637527483655
