Simulación,Start Date,End Date,Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
19,2013-01-19,2018-01-19,EqualWeight,0.22278555022095495,0.14010763615205185,1.9211314035258757,0.10325295077769203,0.23914739026541,1.7508996000530181
19,2013-01-19,2018-01-19,MinVar,0.14605204196311472,0.11092741124427463,1.0224287157854315,0.07813677513023608,0.1512854607254941,1.331665426294902
19,2013-01-19,2018-01-19,MaxSharpe,0.20968048982912596,0.15985224488089575,1.6944214880454895,0.10892042762611687,0.21928405321997513,1.5394769694139507
20,2011-04-29,2016-04-29,SVR-CPO,0.21356298820846265,0.16415922556895632,1.7356867139925067,0.11779030943206302,0.22286182726313997,1.4565119069274002
20,2011-04-29,2016-04-29,XGBoost-CPO,0.16781397610615764,0.15909322899076972,1.1822894505284656,0.1217006803570317,0.16883886893113997,1.0337984614141746
20,2011-04-29,2016-04-29,EqualWeight,0.18945441857942938,0.15631530096836718,1.4386462357021284,0.11638017350282857,0.1950827426461621,1.26700634774226
20,2011-04-29,2016-04-29,MinVar,0.15131864114717575,0.12359261740045449,1.0600710360883872,0.08854531322437528,0.15544870169825398,1.2346067472838511
20,2011-04-29,2016-04-29,MaxSharpe,0.1720579868139721,0.19981766515628124,1.1464705341719421,0.16369788311639383,0.16497807236776785,0.7945001141004199
21,2013-05-22,2018-05-22,SVR-CPO,0.2168731967770529,0.14281982318458145,1.8302020568510335,0.10084811339197827,0.23133396799590988,1.7340254655766598
21,2013-05-22,2018-05-22,XGBoost-CPO,0.16596017885011988,0.15162175328000846,1.1757382001941359,0.11621302433312306,0.16823596398187513,1.06666339303579
21,2013-05-22,2018-05-22,EqualWeight,0.1727738976502169,0.13509175019746605,1.2791122719929033,0.0985009511096984,0.17913339738518275,1.3276409636347246
21,2013-05-22,2018-05-22,MinVar,0.13235309349786903,0.12240156595492177,0.8750884012422939,0.0844993331668204,0.13399679059955472,1.0692758168812053
21,2013-05-22,2018-05-22,MaxSharpe,0.13220390267725482,0.14208296455455535,0.849221792418986,0.098445672708448,0.13085028370228136,0.9162810329347677
22,2016-11-15,2021-11-15,SVR-CPO,0.18239751701752743,0.2067204676438234,1.2471379445969628,0.17254599092201173,0.1758057374905595,0.8136817104083575
22,2016-11-15,2021-11-15,XGBoost-CPO,0.20057075557695828,0.21648830888260495,1.4366549654762921,0.17969522697960585,0.19500410908784227,0.8824427796012352
22,2016-11-15,2021-11-15,EqualWeight,0.21365906583374736,0.2017094943380015,1.6428606869327642,0.17234193401671588,0.214580799872631,0.996037713126149
22,2016-11-15,2021-11-15,MinVar,0.18928286014281348,0.18537717684493094,1.376499125565796,0.15192276551957787,0.18904372625011012,0.9694587880829061
22,2016-11-15,2021-11-15,MaxSharpe,0.15494562776681686,0.2011473103764355,0.9688435620035294,0.1656398263111799,0.14511814972268366,0.6818748261340911
23,2015-09-25,2020-09-25,SVR-CPO,0.17866859821674627,0.21019723809602792,1.1980741547776548,0.17658412787199682,0.17052416959947392,0.7739574324359167
23,2015-09-25,2020-09-25,XGBoost-CPO,0.18492252117836458,0.19986218367889513,1.293255609667618,0.16752423958975007,0.18048615816550218,0.8531453211091563
23,2015-09-25,2020-09-25,EqualWeight,0.18480291295482149,0.2035933885481456,1.282376620321402,0.17778847893266433,0.17936446411319307,0.8032180364674063
23,2015-09-25,2020-09-25,MinVar,0.156224532586353,0.1746615373006498,1.0332366462653781,0.14262308202698973,0.1524239702010146,0.8008839169857327
23,2015-09-25,2020-09-25,MaxSharpe,0.19409842063570212,0.18618683522210222,1.4345343251867684,0.14767206712726538,0.1946796195835463,1.0299742097103717
24,2013-02-11,2018-02-11,SVR-CPO,0.18077853020672047,0.14602353937605886,1.354345311147668,0.1135602405448441,0.18681824698996907,1.2220697097935245
24,2013-02-11,2018-02-11,XGBoost-CPO,0.1494445218708381,0.13944545313155904,1.0203921791484865,0.10992245894515966,0.1510534722184813,0.9774574086305892
24,2013-02-11,2018-02-11,EqualWeight,0.16819910499718504,0.1320301960912503,1.2317060222364926,0.10295205152240358,0.17418612336374917,1.2258046647057113
24,2013-02-11,2018-02-11,MinVar,0.14739493213215463,0.11729625806172224,1.028661747375172,0.08834313994491652,0.15199432626355458,1.1930177283473304
24,2013-02-11,2018-02-11,MaxSharpe,0.16608575817378907,0.16012273979670444,1.163034642068685,0.11771896275495253,0.16686837560943935,1.0540847053850606
25,2015-01-15,2020-01-15,SVR-CPO,0.1567328212139702,0.1359816669363622,1.0997693111697853,0.10189226416250954,0.15996033467116022,1.1260209217746016
25,2015-01-15,2020-01-15,XGBoost-CPO,0.14001553662946728,0.13271568443952914,0.9347367803466142,0.10020301621864146,0.1411223878307286,0.9781695235161271
25,2015-01-15,2020-01-15,EqualWeight,0.14295731541086135,0.12502855542070798,0.9734162216385982,0.09359109943807349,0.14564963879835524,1.0787063729031396
25,2015-01-15,2020-01-15,MinVar,0.13362656989539343,0.11309125195916396,0.8965077448558856,0.08166702045793266,0.1365761411197397,1.1219531382633336
25,2015-01-15,2020-01-15,MaxSharpe,0.11924825475862824,0.15241644784981356,0.7184509513887007,0.1124122969773722,0.11438143088795338,0.6871868722171717
26,2012-10-16,2017-10-16,SVR-CPO,0.15187750870411718,0.1427143460316973,1.0383964403449677,0.10234111521506023,0.15309794848244307,1.0736399390725802
26,2012-10-16,2017-10-16,XGBoost-CPO,0.18538873815177648,0.1462857300530494,1.4059872010523606,0.10290253002000041,0.19198036968488985,1.393442300436219
26,2012-10-16,2017-10-16,EqualWeight,0.17253595736259592,0.14232323105058142,1.2619822188028311,0.10245965452624768,0.17735530237514507,1.2740230090191818
26,2012-10-16,2017-10-16,MinVar,0.1866286857820845,0.11674606731234081,1.4688386342628643,0.08046790666540916,0.19814474782593328,1.7973461939734565
26,2012-10-16,2017-10-16,MaxSharpe,0.13781258242431943,0.16308896331894465,0.8699034087837569,0.1147884671881308,0.13336886449463403,0.8346882293261122
27,2013-10-05,2018-10-05,SVR-CPO,0.16339898059783617,0.14453885531126723,1.1609418232625948,0.10856213748449373,0.1666424592851108,1.1182442001492092
27,2013-10-05,2018-10-05,XGBoost-CPO,0.20106470648064698,0.1389813956513875,1.6227521057534653,0.10069985077749947,0.2127266331915596,1.57959227598169
27,2013-10-05,2018-10-05,EqualWeight,0.16045983719360843,0.13090928671571206,1.149468247241963,0.09664867599281882,0.16540078626488608,1.225674702490598
27,2013-10-05,2018-10-05,MinVar,0.12419780173718337,0.11411826314189219,0.8093755735324213,0.07823881328774923,0.12593364363778004,1.0506013356168074
27,2013-10-05,2018-10-05,MaxSharpe,0.16128316958375735,0.1568025622008071,1.1186858956235124,0.1071015910694067,0.16204311942098726,1.1137385392011256
28,2018-08-03,2023-08-03,SVR-CPO,0.22009858368607021,0.2822401769652114,1.4703334198906597,0.2302478234726593,0.198289818556455,0.7735082182317283
28,2018-08-03,2023-08-03,XGBoost-CPO,0.26680683355109563,0.24794624041938948,2.274364591045588,0.18474837956661644,0.26776720285816746,1.2168270924943887
28,2018-08-03,2023-08-03,EqualWeight,0.21348206675571824,0.245517570091475,1.511125074070983,0.19436972760811388,0.2022218537249858,0.882246782284217
28,2018-08-03,2023-08-03,MinVar,0.14680820694925928,0.1901932735740009,0.9099356822178357,0.147586022626458,0.13818129325608264,0.7101499524418386
28,2018-08-03,2023-08-03,MaxSharpe,0.16976554163162216,0.23240921987365457,1.0501468465807755,0.16615679094613658,0.15442448989728286,0.768945650094074
29,2015-02-15,2020-02-15,SVR-CPO,0.1645832502891412,0.15470414197279278,1.1560569677146582,0.11712279210284669,0.1661144653728841,1.0466216531236687
29,2015-02-15,2020-02-15,XGBoost-CPO,0.18016663251132298,0.1435800650608627,1.3514830878824111,0.10671387157638394,0.18652949944501374,1.2947391981034602
29,2015-02-15,2020-02-15,EqualWeight,0.17451787784437867,0.13869077769908497,1.2934191196258626,0.1073048464894479,0.18061026952328652,1.234966380175663
29,2015-02-15,2020-02-15,MinVar,0.1905172287137991,0.12063765396219318,1.5152478691139075,0.09001913098831833,0.2026164131801187,1.6498407292231247
29,2015-02-15,2020-02-15,MaxSharpe,0.22666847389486136,0.13722513655709007,1.9847955843376255,0.10168421332552167,0.24450292860560063,1.8160977781642678
30,2019-11-19,2024-11-19,SVR-CPO,0.14474071967743735,0.23284206675621494,0.805460856531286,0.18582291350900756,0.12537314963430646,0.5528958605659635
30,2019-11-19,2024-11-19,XGBoost-CPO,0.170363399678378,0.22792238890116864,1.0670211670426686,0.1724905511606151,0.156226967217169,0.7441764132277137
30,2019-11-19,2024-11-19,EqualWeight,0.1779892952989665,0.21579694614285558,1.1763247297833543,0.1712364865430989,0.16819948831428122,0.7941607425163973
30,2019-11-19,2024-11-19,MinVar,0.13160234816511615,0.18451115228503623,0.7793032395324353,0.1488108753133564,0.12209453684290716,0.6021223111310733
30,2019-11-19,2024-11-19,MaxSharpe,0.1752081191815732,0.2399718957572907,1.0873472661910486,0.18172088599213165,0.15849110126698185,0.733036923380073
31,2014-06-01,2019-06-01,SVR-CPO,0.09361275469676456,0.14759770109085252,0.5164739938751124,0.10989002482692031,0.08685584438565641,0.4696764313053528
31,2014-06-01,2019-06-01,XGBoost-CPO,0.1267965073036157,0.1484257409971872,0.791240862693537,0.10559582785871807,0.123667266235848,0.8030289550555838
31,2014-06-01,2019-06-01,EqualWeight,0.1091982399565079,0.14033529361443706,0.6489847436488116,0.10263085131745067,0.10522137451749014,0.6547567236741995
31,2014-06-01,2019-06-01,MinVar,0.09544453650960083,0.12180639480636819,0.5576523101589121,0.08816301855269106,0.09269605463201835,0.6062013005788752
31,2014-06-01,2019-06-01,MaxSharpe,0.1865362141666408,0.15795121332672124,1.401768381987218,0.11141026321632466,0.1915619992816291,1.297333028340447
32,2017-07-15,2022-07-15,SVR-CPO,0.17178795867239585,0.23202845932520072,1.0702161135135664,0.20805451321655805,0.15667617495529562,0.6238170788311774
32,2017-07-15,2022-07-15,XGBoost-CPO,0.1440643166499982,0.22420944163625064,0.8183445166140719,0.1878502866714397,0.1270478237906032,0.5433279792035356
32,2017-07-15,2022-07-15,EqualWeight,0.15582520268874248,0.22144175498033747,0.9349835887311846,0.19138179151591514,0.14115150422154876,0.5947546095537353
32,2017-07-15,2022-07-15,MinVar,0.12698221994635522,0.18392018717019215,0.7396165034744835,0.15522120336029366,0.11711346864342054,0.547491052167001
32,2017-07-15,2022-07-15,MaxSharpe,0.19512194084532825,0.23965645852519038,1.3088562636654015,0.19150698737496638,0.18219557662988084,0.7995632062527249
33,2018-04-17,2023-04-17,SVR-CPO,0.25167167871267837,0.2574253190603943,1.9973345334159411,0.20781473534801811,0.24554693555509655,1.008935571202641
33,2018-04-17,2023-04-17,XGBoost-CPO,0.2202423049303224,0.25063903757617545,1.5826626236213794,0.1965731950939649,0.20899587430481792,0.9067477630666781
33,2018-04-17,2023-04-17,EqualWeight,0.19148980860603498,0.2510019329435591,1.2341131428000907,0.1991505098901811,0.1744393445083694,0.7506373380036493
33,2018-04-17,2023-04-17,MinVar,0.15634572015868942,0.18851638572454224,1.0076928928328988,0.15018352762397555,0.14960261986860446,0.7613732475706947
33,2018-04-17,2023-04-17,MaxSharpe,0.17174948440154808,0.24466959101144814,1.0412359532533872,0.17345688524306882,0.15341906969704033,0.7480215283453716
34,2015-06-15,2020-06-15,SVR-CPO,0.17049352609781293,0.21325152583201942,1.1027829773705533,0.18668591900811704,0.16019873742989188,0.6882871872742907
34,2015-06-15,2020-06-15,XGBoost-CPO,0.14867710277592708,0.2136812018345193,0.8832671324167161,0.18119136074923506,0.1349057977137813,0.588753803353604
34,2015-06-15,2020-06-15,EqualWeight,0.15277857467475223,0.20192981787822137,0.9461105631459164,0.17756288638738757,0.1423778158015636,0.6238836106384724
34,2015-06-15,2020-06-15,MinVar,0.1450893556546795,0.1875461280862396,0.9005474184668518,0.15232471249006604,0.13698005281571812,0.6767736762437844
34,2015-06-15,2020-06-15,MaxSharpe,0.16970707218006587,0.21442462258994913,1.0931004497907426,0.17065591125844834,0.15912874717884629,0.7483307858387689
35,2019-06-06,2024-06-06,SVR-CPO,0.1993210527333642,0.23661996368242214,1.3655190138372753,0.1988938409668827,0.18783081758714348,0.7909800120937848
35,2019-06-06,2024-06-06,XGBoost-CPO,0.20402392090899032,0.23917247350834395,1.4167058743945358,0.18921069183213596,0.19292542861363526,0.8563148273498983
35,2019-06-06,2024-06-06,EqualWeight,0.21912466436149908,0.23447653593423778,1.6216093876876028,0.1906765134908238,0.21249297632467834,0.9289275386820155
35,2019-06-06,2024-06-06,MinVar,0.19743002819077685,0.2027787456832977,1.4352319853854159,0.16454329600972023,0.194748055075878,0.9446147728898961
35,2019-06-06,2024-06-06,MaxSharpe,0.27426395661236513,0.21169074397397214,2.551782919467197,0.16237223104075937,0.2883803433715695,1.4304413699535927
36,2016-11-20,2021-11-20,SVR-CPO,0.20802852196499996,0.21861949271739017,1.5255160687620424,0.17862296913401798,0.20359685559276053,0.9294914465363712
36,2016-11-20,2021-11-20,XGBoost-CPO,0.21995186794780303,0.2272869558156488,1.655161446266629,0.18825750931689078,0.21570946862521323,0.9452577408121318
36,2016-11-20,2021-11-20,EqualWeight,0.22347352657393152,0.21412380227733788,1.7421391257916055,0.1844713309927657,0.22357302232459708,0.983749212396848
36,2016-11-20,2021-11-20,MinVar,0.1810336003559174,0.18343722035578822,1.2853815703813294,0.15696417527705428,0.17978147690527035,0.8857664502776637
